"site","team","transect","spcode","start","stop","dieback","notes"
"C2","KS",3,"linopp",43.35,43.85,0,
"C2","KS",3,"KRAGRA",46.8,47.5,10,
"C2","KS",3,"HERB",49.7,49.9,,
"C3","KS",1,"KRAGRA",0,0.75,5,
"C3","KS",1,"HERB",2.3,3,,"cenna"
"C3","KS",1,"HERB",7.4,7.95,,"cenna"
"C3","KS",1,"LARTRI",8.35,9.25,95,
"C3","KS",1,"FOUSPL",9.45,10.55,0,
"C3","KS",1,"HERB",21.2,21.9,,
"C3","KS",1,"LARTRI",14.3,15.3,100,
"C3","KS",1,"LARTRI",22.7,22.9,99,
"C3","KS",1,"LARTRI",23.6,23.85,100,
"C3","KS",1,"LARTRI",26.45,27.45,40,
"C3","KS",1,"LARTRI",28.7,30.05,50,
"C3","KS",1,"HERB",30.85,32,,
"C3","KS",1,"LARTRI",32.9,34.2,10,
"C3","KS",1,"ACAGRE",34.75,35.5,20,
"C3","KS",1,"ACAGRE",36.4,36.8,5,
"C3","KS",1,"LARTRI",38.45,39.8,10,
"C3","KS",1,"LARTRI",43.5,45,90,
"C3","KS",1,"HERB",49,49.3,,
"C3","KS",2,"LARTRI",4.35,6,60,
"C3","KS",2,"KRAGRA",1,1.8,30,
"C3","KS",2,"HERB",5.1,5.8,,
"C3","KS",2,"KRAGRA",8.05,8.3,50,
"C3","KS",2,"HERB",19.95,20.7,,
"C3","KS",2,"LARTRI",20.2,20.95,100,
"C3","KS",2,"OPUAZU",32.6,33,95,
"C3","KS",2,"KRAGRA",35.75,36.3,5,
"C3","KS",2,"HERB",35.3,35.75,,
"C3","KS",2,"HERB",38.3,39.3,,
"C3","KS",2,"LARTRI",39.9,41.85,50,
"C3","KS",2,"LARTRI",47.25,47.45,100,
"C3","KS",3,"HERB",3.3,3.7,,"cenna"
"C3","KS",3,"LARTRI",3.63,4.8,80,
"C3","KS",3,"LARTRI",6.15,6.85,99,
"C3","KS",3,"KRAGRA",6.4,7.5,40,
"C3","KS",3,"HERB",10,12.4,,
"C3","KS",3,"LARTRI",10.3,10.42,80,
